社团名称,社团简介,成立日期,状态,成员数,社长用户名
模拟政协社,类别：思想政治类；指导单位：共青团上海海洋大学委员会,,active,73,M250100237
慕风话剧社,类别：文化体育类；指导单位：共青团上海海洋大学委员会,,active,120,2521314
青年志愿者协会,类别：志愿公益类；指导单位：共青团上海海洋大学委员会,,active,500,13321910512
海滨之爱志愿服务队,类别：创新创业类；指导单位：共青团上海海洋大学委员会,,active,25,2421201
品读海大社,类别：思想政治类；指导单位：共青团上海海洋大学委员会,,active,47,2461320
I shou 嘻哈社（嘻哈社）,类别：文化体育类；指导单位：共青团上海海洋大学委员会,,active,60,2591327
习近平新时代中国特色社会主义思想学习实践团（总团）,类别：思想政治类；指导单位：马克思主义学院、共青团上海海洋大学委员会,,active,45,2315417
习近平新时代中国特色社会主义思想学习实践团（分团）水产与生命学院,类别：思想政治类；指导单位：马克思主义学院,,active,21,13482750430
习近平新时代中国特色社会主义思想学习实践团（分团）海洋生物资源与管理学院,类别：思想政治类；指导单位：马克思主义学院,,active,24,15853237740
习近平新时代中国特色社会主义思想学习实践团（分团）海洋科学与生态环境学院,类别：思想政治类；指导单位：马克思主义学院,,active,33,2315417
习近平新时代中国特色社会主义思想学习实践团（分团）食品学院,类别：思想政治类；指导单位：马克思主义学院,,active,23,13655633536
习近平新时代中国特色社会主义思想学习实践团（分团）经济管理学院,类别：思想政治类；指导单位：马克思主义学院,,active,27,13162809770
习近平新时代中国特色社会主义思想学习实践团（分团）工程学院,类别：思想政治类；指导单位：马克思主义学院,,active,24,18818267707
习近平新时代中国特色社会主义思想学习实践团（分团）信息学院,类别：思想政治类；指导单位：马克思主义学院,,active,26,15982346942
习近平新时代中国特色社会主义思想学习实践团（分团）外国语学院,类别：思想政治类；指导单位：马克思主义学院,,active,27,18964280227
习近平新时代中国特色社会主义思想学习实践团（分团）爱恩学院,类别：思想政治类；指导单位：马克思主义学院,,active,21,18186680524
辩论协会,类别：思想政治类；指导单位：马克思主义学院,,active,50,2492405
摄影协会,类别：文化体育类；指导单位：宣传部,,active,200,2492110
小海心心理协会,类别：志愿公益类；指导单位：学生处（大学生心理健康研究教育中心）,,active,30,2431409
职达工作室,类别：创新创业类；指导单位：学生处（就业创业服务中心）,,active,35,2334207
海韵书友会,类别：文化体育类；指导单位：图书馆,,active,31,2511718
校史宣讲团,类别：思想政治类；指导单位：档案馆,,active,75,2321209
八一社,类别：思想政治类；指导单位：武装部、保卫处,,active,200,2231316
平安志愿者支队,类别：志愿公益类；指导单位：武装部、保卫处,,active,30,2436209
Round Earth 环保协会（环球环保社）,类别：志愿公益类；指导单位：后勤与基建管理处,,active,57,2431422
学生与校友交流协会,类别：志愿公益类；指导单位：社会协同与校友事务处,,active,23,2427105
